V,Va
"0,009","-0,17"
"0,208","0,07"
"0,396","2,02"
"0,603","12,03"
"0,806","37,59"
"1,004","82,44"
"1,208","126,17"
"1,31","143,2"
"1,406","154,33"
"1,508","161,25"
"1,548","161,51"
"1,609","161,78"
"1,65","161,13"
"1,701","158,23"
"1,751","155,15"
"1,806","152,37"
"2,206","117,98"
"2,598","84,56"
"3,003","61,12"
"3,407","47,12"
"3,792","39,26"
"4,201","37,52"
"4,404","37,35"
"4,601","35,76"
"4,809","34,42"
"4,997","33,21"
"5,213","32,34"
"5,41","31,88"
"5,505","31,03"
"5,609","30,59"
"5,655","30,21"
"5,71","30,16"
"5,756","30,02"
"5,809","30,01"
"5,85","30,24"
"5,904","30,17"
"5,951","29,85"
"5,995","29,65"
"6,056","29,39"
"6,116","29,67"
"6,158","29,54"
"6,208","29,72"
"6,258",30
"6,305","29,62"
"6,355","30,82"
"6,405","30,96"
"6,502","30,55"
"6,706","30,45"
"6,916","30,52"
"7,105","30,99"
"7,312","31,6"
"7,512","31,56"
"7,706","31,78"
"7,906","31,87"
"8,108","32,69"
"8,303","33,53"
"8,497","34,55"
"8,709","35,47"
