U,I
"0,04","0,0019"
"6,98","0,0944"
"14,01","0,2653"
"20,91","0,4119"
"28,15","0,3472"
"34,9","0,5334"
42,"0,5197"
49,"0,4895"
"56,2","0,5465"
"63,1","0,585"
"68,4","0,5876"
"18,1","0,3544"
"19,1","0,3762"
"20,01","0,3935"
"22,05","0,4232"
"22,97","0,428"
"24,05","0,4309"
"25,16","0,2772"
"24,45","0,435"
"30,78","0,4243"
"38,77","0,5626"
40,"0,5527"
"40,73","0,5409"
"36,15","0,5503"
37,"0,5594"
"46,13","0,4885"
"50,28","0,5005"
"46,54","0,487"
"48,05","0,4883"
"44,8","0,4979"
