Channel,Counts
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,1
21,0
22,0
23,0
24,0
25,1
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,1
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,1
48,0
49,0
50,0
51,1
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,1
61,0
62,0
63,1
64,1
65,0
66,1
67,0
68,0
69,0
70,0
71,2
72,1
73,2
74,1
75,1
76,1
77,1
78,1
79,8
80,7
81,32
82,47
83,88
84,127
85,193
86,288
87,349
88,437
89,494
90,605
91,719
92,757
93,889
94,985
95,1137
96,1288
97,1376
98,1485
99,1638
100,1639
101,1691
102,1608
103,1360
104,1158
105,931
106,724
107,537
108,372
109,287
110,202
111,188
112,203
113,173
114,217
115,204
116,257
117,275
118,333
119,378
120,441
121,474
122,486
123,610
124,688
125,766
126,843
127,950
128,1152
129,1232
130,1353
131,1576
132,1752
133,1874
134,2078
135,2209
136,2425
137,2671
138,2967
139,3318
140,4087
141,4850
142,5913
143,7357
144,8628
145,10395
146,11982
147,12788
148,14095
149,13991
150,13241
151,11990
152,10278
153,8342
154,6286
155,4440
156,3009
157,1820
158,1090
159,633
160,354
161,203
162,117
163,100
164,77
165,79
166,80
167,90
168,101
169,85
170,81
171,76
172,83
173,68
174,79
175,76
176,60
177,50
178,52
179,69
180,71
181,55
182,53
183,58
184,60
185,64
186,60
187,60
188,55
189,56
190,59
191,71
192,60
193,50
194,61
195,56
196,61
197,40
198,50
199,65
200,66
201,59
202,63
203,44
204,57
205,62
206,74
207,57
208,70
209,66
210,48
211,48
212,44
213,53
214,38
215,45
216,56
217,63
218,62
219,48
220,56
221,43
222,59
223,45
224,47
225,52
226,43
227,53
228,61
229,48
230,46
231,36
232,44
233,49
234,53
235,57
236,38
237,47
238,58
239,44
240,41
241,42
242,38
243,40
244,45
245,49
246,51
247,32
248,44
249,36
250,44
251,41
252,38
253,46
254,44
255,36
256,43
257,37
258,40
259,47
260,40
261,32
262,45
263,34
264,29
265,40
266,38
267,41
268,45
269,41
