Channel,Counts
1,0
2,0
3,0
4,0
5,0
6,1
7,1
8,0
9,1
10,0
11,0
12,1
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,1
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,2
32,1
33,0
34,1
35,0
36,1
37,0
38,1
39,1
40,2
41,1
42,1
43,0
44,1
45,0
46,1
47,1
48,1
49,0
50,0
51,1
52,2
53,2
54,2
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,3
63,1
64,1
65,2
66,0
67,4
68,3
69,0
70,1
71,1
72,2
73,1
74,1
75,1
76,3
77,4
78,1
79,3
80,4
81,3
82,10
83,7
84,18
85,18
86,25
87,34
88,42
89,39
90,42
91,49
92,62
93,71
94,74
95,62
96,84
97,102
98,85
99,103
100,88
101,98
102,84
103,80
104,109
105,97
106,111
107,99
108,95
109,115
110,128
111,126
112,97
113,130
114,129
115,118
116,103
117,122
118,119
119,138
120,137
121,121
122,131
123,123
124,134
125,135
126,132
127,140
128,126
129,158
130,116
131,119
132,127
133,133
134,121
135,121
136,141
137,127
138,140
139,141
140,133
141,134
142,131
143,129
144,154
145,149
146,170
147,142
148,140
149,147
150,141
151,152
152,158
153,163
154,168
155,160
156,157
157,168
158,173
159,173
160,202
161,217
162,239
163,245
164,232
165,250
166,280
167,292
168,296
169,295
170,318
171,290
172,286
173,256
174,268
175,274
176,235
177,220
178,202
179,209
180,212
181,207
182,192
183,205
184,207
185,216
186,185
187,186
188,192
189,205
190,196
191,161
192,183
193,166
194,161
195,169
196,151
197,159
198,145
199,153
200,155
201,156
202,183
203,175
204,159
205,158
206,162
207,149
208,162
209,144
210,166
211,158
212,148
213,144
214,154
215,149
216,165
217,143
218,152
219,150
220,181
221,166
222,157
223,128
224,182
225,163
226,165
227,180
228,171
229,149
230,167
231,150
232,179
233,157
234,163
235,175
236,169
237,203
238,165
239,158
240,157
241,167
242,163
243,183
244,164
245,178
246,164
247,183
248,170
249,182
250,165
251,179
252,167
253,179
254,202
255,172
256,160
257,180
258,170
259,181
260,170
261,164
262,174
263,177
264,190
265,176
266,153
267,165
268,161
269,182
270,176
271,185
272,160
273,199
274,174
275,191
276,186
277,170
278,168
279,182
