Channel,Counts
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,1
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,1
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,1
58,1
59,0
60,0
61,1
62,0
63,0
64,0
65,1
66,1
67,0
68,0
69,1
70,0
71,3
72,1
73,1
74,0
75,0
76,0
77,2
78,2
79,1
80,3
81,4
82,9
83,4
84,13
85,21
86,18
87,20
88,26
89,35
90,54
91,57
92,71
93,96
94,91
95,127
96,151
97,188
98,223
99,266
100,291
101,333
102,306
103,289
104,308
105,277
106,235
107,201
108,181
109,153
110,138
111,119
112,112
113,101
114,113
115,81
116,78
117,64
118,67
119,70
120,77
121,54
122,59
123,69
124,67
125,86
126,92
127,53
128,56
129,68
130,69
131,58
132,70
133,71
134,76
135,59
136,67
137,65
138,75
139,68
140,84
141,78
142,84
143,64
144,52
145,67
146,69
147,65
148,83
149,79
150,69
151,84
152,55
153,70
154,88
155,67
156,75
157,83
158,91
159,77
160,99
161,98
162,103
163,115
164,120
165,126
166,125
167,134
168,139
169,140
170,138
171,142
172,130
173,114
174,115
175,111
176,89
177,105
178,101
179,99
180,104
181,75
182,99
183,96
184,94
185,110
186,94
187,76
188,83
189,79
190,85
191,70
192,72
193,99
194,70
195,81
196,86
197,76
198,77
199,61
200,81
201,68
202,76
203,66
204,76
205,79
206,88
207,65
208,73
209,78
210,80
211,86
212,77
213,67
214,66
215,71
216,66
217,83
218,98
219,70
220,74
221,81
222,79
223,73
224,82
225,98
226,67
227,63
228,100
229,66
230,79
231,82
232,82
233,85
234,80
235,77
236,90
237,89
238,75
239,69
240,70
241,92
242,79
243,84
244,79
245,77
246,78
247,77
248,81
249,67
250,77
251,57
252,88
253,72
254,82
255,76
256,74
257,65
258,97
259,86
260,85
261,73
262,89
263,71
264,76
265,82
266,63
267,82
268,79
269,75
270,79
271,71
272,78
273,93
274,80
275,71
276,72
277,77
278,68
279,70
