Channel,Counts
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,1
17,0
18,0
19,2
20,0
21,1
22,2
23,2
24,6
25,13
26,11
27,16
28,61
29,164
30,415
31,687
32,972
33,1316
34,1506
35,1747
36,1925
37,2113
38,2197
39,2389
40,2428
41,2575
42,2596
43,2739
44,2778
45,2909
46,2876
47,2938
48,2977
49,3002
50,3099
51,3032
52,3083
53,3134
54,3165
55,3120
56,3230
57,3237
58,3294
59,3177
60,3156
61,3223
62,3233
63,3251
64,3292
65,3305
66,3233
67,3138
68,3213
69,3181
70,3226
71,3144
72,3224
73,3136
74,3154
75,2978
76,3136
77,3031
78,3008
79,2973
80,2926
81,2825
82,2895
83,2852
84,2925
85,2732
86,2801
87,2752
88,2714
89,2783
90,2601
91,2560
92,2452
93,2496
94,2407
95,2351
96,2309
97,2374
98,2281
99,2294
100,2199
101,2179
102,2049
103,2087
104,1977
105,1988
106,1926
107,1961
108,1924
109,1849
110,1779
111,1758
112,1796
113,1668
114,1538
115,1539
116,1440
117,1468
118,1450
119,1399
120,1330
121,1310
122,1262
123,1216
124,1188
125,1125
126,1145
127,1058
128,1110
129,1001
130,994
131,929
132,893
133,838
134,839
135,708
136,782
137,684
138,655
139,634
140,642
141,601
142,581
143,508
144,528
145,442
146,453
147,427
148,394
149,381
150,323
151,258
152,245
153,281
154,227
155,227
156,216
157,179
158,148
159,134
160,132
161,108
162,95
163,83
164,78
165,71
166,58
167,53
168,43
169,54
170,34
171,31
172,27
173,19
174,21
175,17
176,14
177,15
178,10
179,15
180,7
181,6
182,2
183,7
184,4
185,8
186,0
187,6
188,7
189,4
190,1
191,5
192,5
193,0
194,1
195,5
196,2
197,4
198,4
199,1
200,1
201,1
202,1
203,2
204,5
205,0
206,2
207,2
208,2
209,1
210,2
211,3
212,1
213,2
214,0
215,4
216,1
217,5
218,2
219,1
220,0
221,0
222,0
223,5
224,0
225,1
226,2
227,2
228,0
229,2
230,2
231,3
232,3
233,1
234,3
235,1
236,1
237,2
238,2
239,0
240,4
241,1
242,2
243,1
244,1
245,2
246,1
247,2
248,2
249,0
250,5
251,2
252,2
253,0
254,0
255,3
