Channel,Counts
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,1
19,0
20,1
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,2
29,9
30,28
31,43
32,48
33,58
34,79
35,80
36,81
37,119
38,103
39,111
40,106
41,99
42,113
43,101
44,92
45,121
46,78
47,117
48,95
49,86
50,80
51,105
52,106
53,92
54,118
55,95
56,90
57,97
58,79
59,94
60,83
61,93
62,101
63,82
64,89
65,109
66,92
67,73
68,77
69,71
70,87
71,96
72,73
73,79
74,89
75,66
76,80
77,73
78,83
79,74
80,77
81,88
82,80
83,89
84,85
85,85
86,84
87,77
88,87
89,69
90,70
91,68
92,79
93,62
94,73
95,66
96,67
97,70
98,80
99,65
100,80
101,73
102,70
103,68
104,67
105,65
106,71
107,65
108,70
109,63
110,71
111,70
112,62
113,68
114,65
115,75
116,71
117,60
118,73
119,70
120,65
121,59
122,66
123,63
124,72
125,58
126,58
127,57
128,63
129,67
130,61
131,70
132,76
133,56
134,57
135,60
136,62
137,55
138,59
139,51
140,77
141,56
142,67
143,51
144,55
145,54
146,61
147,72
148,71
149,65
150,58
151,73
152,66
153,78
154,58
155,65
156,51
157,53
158,64
159,57
160,68
161,59
162,54
163,55
164,57
165,53
166,55
167,65
168,59
169,44
170,54
171,68
172,55
173,62
174,59
175,67
176,54
177,69
178,42
179,59
180,57
181,62
182,53
183,55
184,46
185,70
186,62
187,60
188,52
189,52
190,52
191,55
192,52
193,60
194,49
195,50
196,69
197,48
198,60
199,52
200,45
201,56
202,53
203,45
204,64
205,49
206,61
207,42
208,57
209,55
210,60
211,57
212,36
213,59
214,43
215,55
216,50
217,55
218,43
219,53
220,54
221,48
222,46
223,43
224,53
225,49
226,58
227,48
228,55
229,40
230,47
231,66
232,52
233,58
234,57
235,35
236,44
237,46
238,36
239,44
240,41
241,46
242,47
243,37
244,47
245,35
246,35
247,41
248,46
249,30
250,24
251,33
252,26
253,45
254,19
255,32
256,24
257,34
258,30
259,29
260,27
261,26
262,26
263,28
264,34
265,24
266,29
267,26
268,19
269,20
270,19
271,20
272,25
273,22
274,20
275,19
276,26
277,19
278,17
279,24
