Channel,Counts
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,2
21,0
22,0
23,5
24,1
25,1
26,0
27,2
28,11
29,28
30,70
31,86
32,131
33,147
34,174
35,165
36,211
37,230
38,201
39,228
40,208
41,237
42,218
43,227
44,218
45,224
46,230
47,218
48,194
49,224
50,240
51,226
52,210
53,220
54,211
55,215
56,189
57,205
58,212
59,194
60,219
61,217
62,192
63,197
64,189
65,190
66,206
67,221
68,193
69,193
70,222
71,183
72,195
73,193
74,185
75,186
76,192
77,199
78,215
79,183
80,200
81,179
82,180
83,209
84,191
85,195
86,181
87,198
88,189
89,202
90,183
91,191
92,197
93,178
94,202
95,199
96,187
97,177
98,179
99,175
100,196
101,196
102,152
103,161
104,203
105,154
106,179
107,170
108,156
109,192
110,157
111,156
112,179
113,181
114,155
115,162
116,179
117,156
118,162
119,140
120,126
121,124
122,120
123,94
124,118
125,103
126,94
127,71
128,65
129,60
130,56
131,36
132,38
133,41
134,37
135,34
136,28
137,33
138,21
139,15
140,13
141,17
142,10
143,8
144,6
145,7
146,9
147,9
148,3
149,4
150,4
151,9
152,4
153,6
154,3
155,2
156,3
157,2
158,1
159,1
160,2
161,0
162,2
163,2
164,2
165,1
166,4
167,1
168,0
169,1
170,0
171,1
172,0
173,3
174,1
175,0
176,4
177,4
178,2
179,1
180,2
181,0
182,1
183,3
184,4
185,3
186,1
187,1
188,2
189,2
190,1
191,2
192,3
193,2
194,2
195,1
196,1
197,2
198,0
199,3
200,2
201,2
202,0
203,1
204,6
205,1
206,1
207,0
208,2
209,3
210,1
211,0
212,2
213,1
214,4
215,3
216,1
217,1
218,0
219,0
220,3
221,1
222,2
223,3
224,1
225,1
226,1
227,2
228,1
229,2
230,1
231,1
232,1
233,1
234,1
235,1
236,1
237,3
238,2
239,1
240,0
241,2
242,2
243,2
244,4
245,2
246,2
247,0
248,0
249,0
250,3
251,2
252,1
253,0
254,1
255,1
256,1
257,1
258,1
259,1
260,1
261,3
262,0
263,1
264,0
265,2
266,4
267,5
268,1
269,1
270,0
271,1
272,1
273,0
274,0
275,1
276,2
277,1
278,1
279,5
