Channel,Counts
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,1
20,0
21,0
22,1
23,0
24,1
25,1
26,2
27,3
28,9
29,28
30,62
31,114
32,159
33,217
34,250
35,278
36,274
37,288
38,317
39,315
40,313
41,341
42,345
43,357
44,331
45,337
46,328
47,341
48,307
49,349
50,325
51,331
52,308
53,322
54,352
55,312
56,331
57,311
58,312
59,319
60,322
61,304
62,296
63,325
64,325
65,311
66,318
67,313
68,323
69,270
70,330
71,298
72,304
73,304
74,316
75,316
76,289
77,315
78,317
79,282
80,272
81,314
82,298
83,316
84,305
85,250
86,265
87,254
88,228
89,238
90,235
91,210
92,172
93,169
94,167
95,134
96,103
97,101
98,129
99,92
100,96
101,66
102,90
103,74
104,62
105,55
106,51
107,59
108,60
109,49
110,39
111,54
112,47
113,46
114,46
115,46
116,34
117,45
118,51
119,55
120,44
121,51
122,44
123,48
124,43
125,39
126,52
127,43
128,42
129,37
130,49
131,47
132,38
133,36
134,44
135,45
136,42
137,43
138,48
139,39
140,40
141,35
142,35
143,51
144,41
145,33
146,48
147,35
148,40
149,29
150,41
151,27
152,31
153,33
154,36
155,30
156,28
157,36
158,40
159,37
160,34
161,37
162,43
163,35
164,36
165,32
166,34
167,40
168,36
169,50
170,42
171,37
172,40
173,36
174,32
175,44
176,29
177,33
178,37
179,33
180,44
181,29
182,45
183,34
184,41
185,46
186,26
187,33
188,35
189,42
190,36
191,28
192,41
193,39
194,40
195,23
196,36
197,36
198,38
199,23
200,32
201,34
202,22
203,31
204,35
205,29
206,37
207,33
208,34
209,31
210,28
211,33
212,34
213,32
214,45
215,31
216,31
217,45
218,28
219,35
220,34
221,35
222,38
223,30
224,33
225,32
226,36
227,29
228,25
229,38
230,40
231,31
232,29
233,32
234,30
235,37
236,32
237,29
238,33
239,25
240,28
241,26
242,29
243,31
244,28
245,29
246,38
247,37
248,36
249,33
250,22
251,32
252,28
253,27
254,26
255,31
256,25
257,28
258,26
259,23
260,27
261,26
262,26
263,21
264,26
265,29
266,21
267,20
268,33
269,30
270,17
271,20
272,12
273,28
274,17
275,13
276,17
277,17
278,22
279,9
