Channel,Counts
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,2
20,1
21,1
22,2
23,3
24,6
25,9
26,7
27,18
28,36
29,95
30,234
31,460
32,651
33,852
34,1043
35,1203
36,1225
37,1361
38,1393
39,1541
40,1548
41,1630
42,1712
43,1703
44,1716
45,1675
46,1603
47,1673
48,1762
49,1683
50,1761
51,1641
52,1687
53,1610
54,1641
55,1711
56,1715
57,1665
58,1648
59,1606
60,1655
61,1567
62,1547
63,1583
64,1582
65,1575
66,1441
67,1479
68,1541
69,1489
70,1428
71,1430
72,1365
73,1340
74,1312
75,1334
76,1256
77,1241
78,1272
79,1168
80,1205
81,1140
82,1147
83,1096
84,1037
85,1105
86,1076
87,1034
88,959
89,932
90,958
91,889
92,827
93,850
94,717
95,702
96,713
97,663
98,644
99,667
100,573
101,588
102,542
103,563
104,495
105,508
106,498
107,436
108,425
109,411
110,403
111,409
112,404
113,394
114,340
115,349
116,310
117,288
118,324
119,282
120,285
121,256
122,254
123,245
124,241
125,204
126,209
127,213
128,214
129,192
130,184
131,177
132,160
133,176
134,164
135,162
136,182
137,140
138,141
139,137
140,126
141,134
142,133
143,111
144,122
145,127
146,103
147,107
148,118
149,108
150,104
151,113
152,87
153,107
154,93
155,93
156,81
157,74
158,83
159,85
160,82
161,79
162,84
163,72
164,73
165,91
166,71
167,58
168,70
169,64
170,61
171,64
172,73
173,61
174,58
175,55
176,58
177,56
178,63
179,51
180,51
181,54
182,72
183,49
184,46
185,46
186,40
187,53
188,49
189,49
190,39
191,57
192,38
193,54
194,57
195,44
196,51
197,57
198,47
199,38
200,55
201,37
202,37
203,37
204,37
205,38
206,38
207,36
208,40
209,35
210,34
211,40
212,33
213,37
214,34
215,30
216,37
217,32
218,36
219,35
220,36
221,33
222,35
223,27
224,39
225,40
226,32
227,46
228,26
229,23
230,34
231,28
232,26
233,37
234,32
235,36
236,29
237,23
238,29
239,36
240,25
241,29
242,37
243,28
244,33
245,33
246,30
247,27
248,22
249,28
250,30
251,19
252,24
253,30
254,31
255,19
256,32
257,24
258,39
259,38
260,25
261,30
262,22
263,30
264,30
265,27
266,30
