Channel,Counts
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,1
17,1
18,1
19,0
20,2
21,3
22,6
23,10
24,8
25,16
26,41
27,73
28,165
29,341
30,696
31,1177
32,1607
33,2090
34,2530
35,2879
36,3161
37,3279
38,3547
39,3636
40,3809
41,4073
42,4020
43,4139
44,4182
45,4150
46,4121
47,4259
48,4302
49,4328
50,4205
51,4378
52,4278
53,4102
54,4340
55,4175
56,4242
57,4240
58,4050
59,4020
60,4063
61,4147
62,4026
63,3911
64,3962
65,4056
66,4002
67,3855
68,3844
69,3678
70,3691
71,3659
72,3646
73,3640
74,3420
75,3468
76,3390
77,3317
78,3231
79,3217
80,3210
81,3051
82,3074
83,3010
84,2931
85,2882
86,2905
87,2795
88,2766
89,2739
90,2785
91,2616
92,2509
93,2527
94,2470
95,2405
96,2336
97,2350
98,2338
99,2207
100,2162
101,2066
102,1989
103,2007
104,1980
105,2017
106,1856
107,1945
108,1856
109,1759
110,1748
111,1689
112,1714
113,1639
114,1583
115,1595
116,1527
117,1477
118,1438
119,1439
120,1406
121,1373
122,1332
123,1281
124,1323
125,1271
126,1236
127,1292
128,1244
129,1247
130,1214
131,1165
132,1149
133,1134
134,1105
135,1176
136,1121
137,1153
138,1110
139,1133
140,1084
141,1134
142,1123
143,1082
144,1072
145,1109
146,1071
147,1077
148,1051
149,1065
150,1073
151,1115
152,1091
153,1031
154,1015
155,1016
156,1018
157,1000
158,986
159,1021
160,1023
161,1071
162,1005
163,972
164,980
165,1001
166,935
167,999
168,918
169,951
170,949
171,959
172,970
173,920
174,997
175,941
176,920
177,971
178,917
179,942
180,896
181,888
182,928
183,906
184,937
185,865
186,869
187,876
188,925
189,857
190,880
191,911
192,886
193,913
194,863
195,887
196,916
197,912
198,866
199,822
200,873
201,851
202,877
203,834
204,845
205,844
206,799
207,850
208,860
209,851
210,836
211,819
212,853
213,806
214,808
215,750
216,806
217,844
218,774
219,867
220,822
221,799
222,793
223,827
224,772
225,735
226,821
227,807
228,776
229,764
230,761
231,761
232,741
233,706
234,761
235,721
236,712
237,752
238,776
239,713
240,725
241,730
242,733
243,766
244,695
245,732
246,752
